id,name,category,description,wikiLinks
6sqyf9,Abrasive Whetstone,amulet,When attacking a BLEEDING enemy  Critical Chance is increased by 15% and Critical Damage is increased by 15%.,https://remnant.wiki/Abrasive_Whetstone
ca8ada,Ankh of Power,amulet,Grants 15% increase to all damage. Consuming a Relic increases the bonus to 25% for 15s.,https://remnant.wiki/Ankh_of_Power
n8gqNY,Beads of the Valorous,amulet,Increases Damage Reduction and Movement Speed by 1% for every 5% of missing Max Health. Bonus is doubled at or below 50% Max Health. Max 10 stacks.,https://remnant.wiki/Beads_of_the_Valorous
41ookr,Birthright of the Lost,amulet,Increases All Damage by 10%. On Perfect Dodge  apply EXPOSED on the attacker and enemies with 3m of the wearer for 15s.  EXPOSED: Target receives 15% additional damage from all sources.,https://remnant.wiki/Birthright_of_the_Lost
mkroo2,Brazen Amalgam,amulet,Increases Critical Chance by 1.5% and Movement Speed while Aiming by 2.5% per second. Max 10 stacks. Dodge  Slide  or Flop removes stacks,https://remnant.wiki/Brazen_Amalgam
6il3tm,Brewmaster's Cork,amulet,Increases active Concoction limit by 2 and reduces all incoming damage by 2% for each active Concoction.,https://remnant.wiki/Brewmaster's_Cork
sap1xm,Broken Pocket Watch,amulet,Increases Stamina Regeneration by 25 and reduces Stamina Cost by 50%.,https://remnant.wiki/Broken_Pocket_Watch
67s1pu,Butcher's Fetish,amulet,Increases Critical Chance by 15% and Critical Damage by 25% for 5s after striking an enemy with a Charged Melee Attack.,https://remnant.wiki/Butcher's_Fetish
z496hr,Canine Keepsake,amulet,Increases All Damage by 2.5%  Critical Chance by 1.5%  and Critical Damage by 1.5% for every 5% of total Health present as Grey Health. Max 10 stacks.,https://remnant.wiki/Canine_Keepsake
5sfzsd,Cervine Keepsake,amulet,On Relic Use  gain a stack of CALL OF THE DOE for 30s. Max 5 stacks.  CALL OF THE DOE: Increases Movement Speed by 4% per stack. When CALL OF THE DOE expires  regain 1 Relic Charge per stack.,https://remnant.wiki/Cervine_Keepsake
zXxT8K,Cessation Bulbel,amulet,Activating a Mod consumes all current SHIELD. For every 20 SHIELD consumed  increases All Damage dealt by 4% for 10s. Max 10 stacks.,https://remnant.wiki/Cessation_Bulbel
5sfzsx,Chains of Amplification,amulet,Increases all damage dealt to targets suffering from a Status Effect by 20%.,https://remnant.wiki/Chains_of_Amplification
9yuvc8,Chef Medal,amulet,On Perfect Dodge  automatically trigger effects that require Relic Use to activate.,https://remnant.wiki/Chef_Medal
nm7b6f,Cleansing Stone,amulet,Reduces Duration of Elemental Status Effects against wearer by 50%. Relic use cleanses Elemental Status effects and grants 25% of wearers Max Health to all allies within 20m when cleansed.,https://remnant.wiki/Cleansing_Stone
wb4ixr,Core Booster,amulet,Increases Weakspot damage by 50% for 10s after killing an enemy.,https://remnant.wiki/Core_Booster
hug5mz,Cost of Betrayal,amulet,Reduces Relic Charges to 1. Increases All Damage by 25% when wearer has 1 Relic Charge. Increases incoming damage by 25% when wearer has no Relic Charge. After 15s of having no Relic Charges  regain 1 Relic Charge.,https://remnant.wiki/Cost_of_Betrayal
L6noPy,Crisis Core,amulet,When a single source of Enemy Damage exceeds 15% of Max Health  automatically trigger effects that require Perfect Dodge to activate and gain 15% Damage Reduction for 3s.  Can only happen once every 3 seconds.,https://remnant.wiki/Crisis_Core
ik580i,Daredevil's Charm,amulet,Gain 7.5% to all damage dealt and 3.75% Movement Speed for each empty Armor slot.,https://remnant.wiki/Daredevil's_Charm
i13ipm,Death's Embrace,amulet,Gain 15% to All Damage when Health is not completely full. When below 50% Health  gain an additional 10% bonus to All Damage and HASTE.,https://remnant.wiki/Death's_Embrace
ui1miz,Death-Soaked Idol,amulet,Increases All Damage by 6% for each entity within 20m suffering from a unique Negative Status Effect. Max 5 stacks.,https://remnant.wiki/Death-Soaked_Idol
dipf2o,Decayed Margin,amulet,Melee hits gain 3% base damage dealt as Lifesteal. For each 25% missing Health  gain 3% additional Melee Lifesteal. When Health is full  gain 35% Melee Damage.,https://remnant.wiki/Decayed_Margin
3zi80a,Detonation Trigger,amulet,Increases Explosion damage by 25%. Explosions apply 165 → 495 BURNING damage over 5s.,https://remnant.wiki/Detonation_Trigger
2zr6vu,Difference Engine,amulet,While a SHIELD is active  All Damage is increased by 20%  and 4.5% of Base Damage dealt is returned as Lifesteal.,https://remnant.wiki/Difference_Engine
1k2x4r,Downward Spiral,amulet,Increase Fire Rate by 10% and Melee Attack Speed by 15%. For every missing 10% of Max Health  gain 4% Ranged Damage (Max 20%) and 5% Melee Damage (Max 25%).,https://remnant.wiki/Downward_Spiral
rPV99a,Echo Chamber,amulet,Increases Explosive Damage by 10% and AOE Size by 25%. Inflicting Explosive Damage applies EXPOSED for 5s. Max 15s.  EXPOSED: Target receives 15% additional damage from all sources.,https://remnant.wiki/Echo_Chamber
2VokuK,Echo of the Forest,amulet,On Relic Use  gain GIFT OF THE FOREST for 15s. When Gift of the Forest expires  Relic effect is recast.,https://remnant.wiki/Echo_of_the_Forest
vkcf4e,Effigy Pendant,amulet,While Grey Health is present  gain 15% to all damage dealt  10% damage reduction and 1 additional hit before Grey Health is removed.,https://remnant.wiki/Effigy_Pendant
kah85t,Effluvium Enhancer,amulet,Increases ACID damage by 25% and CORROSIVE damage by 50%.,https://remnant.wiki/Effluvium_Enhancer
8dcefr,Emergency Switch,amulet,When below 50% Health  chance to consume Relic on use is reduced by 50%. Final Relic Charge is not consumed on use  but effect cannot be triggered again for 30s.,https://remnant.wiki/Emergency_Switch
c52jp0,Energized Neck Coil,amulet,Increases Status Effect damage by 20%. Directly applying a damaging Status Effect creates a 2m Explosion for 20% of its full damage.  Each target can be affected once every 5s.,https://remnant.wiki/Energized_Neck_Coil
evwgwk,Energy Diverter,amulet,While a SHIELD is active  gain 10% Critical Chance and 15% to All Damage dealt.,https://remnant.wiki/Energy_Diverter
vxcn9e,Escalation Protocol,amulet,Increases all damage dealt by 2.5% for 10s after killing an enemy. Stacks 10x. Dealing damage refreshes the timer.,https://remnant.wiki/Escalation_Protocol
C22peH,Exhaust Valve,amulet,Increases Heat Decay Rate by 25% and Weapons that Generate Heat no longer Overheat. At Max Heat  Fire Rate is reduced by 20%.,https://remnant.wiki/Exhaust_Valve
Hx5iNF,Fragrant Thorn,amulet,Increases Status Effect Damage by 20%. Inflicting 4 or more unique Negative Status Effects on a target applies EXPOSED for 15s.  EXPOSED: Target receives 15% additional damage from all sources.,https://remnant.wiki/Fragrant_Thorn
8xn7hh,Full Moon Circlet,amulet,Ranged damage Lifesteals 3% Base Damage dealt. At full health  Ranged damage is increased by 25%.,https://remnant.wiki/Full_Moon_Circlet
70ryol,Gift of Euphoria,amulet,Spending 20 Stamina grants 5% Critical Chance for 5s. Max 5 stacks.,https://remnant.wiki/Gift_of_Euphoria
65851b,Gift of Melancholy,amulet,Increases All Damage dealt by 25% when Stamina is at 100% for 7s.,https://remnant.wiki/Gift_of_Melancholy
u7am0w,Gift of the Unbound,amulet,Disables negative effects of Burden Rings and increases Movement Speed by 5% for each Burden lifted. (Max 20%).,https://remnant.wiki/Gift_of_the_Unbound
m0l0u5,Golden Ribbon,amulet,Increases Mod damage by 25%. Activating a Mod grants HASTE for 15s.,https://remnant.wiki/Golden_Ribbon
wbqua6,Gunfire Security Lanyard,amulet,Automatically reloads Magazine over time. Does not work for single shot weapons.,https://remnant.wiki/Gunfire_Security_Lanyard
qqg64h,Gunslinger's Charm,amulet,Increases Fire Rate by 15% and Reload Speed by 25%.,https://remnant.wiki/Gunslinger's_Charm
pfew3v,Hallowed Egg,amulet,Spending at least 30% of a Firearm's magazine to deal damage increases Melee damage by 10% for 7s. Stacks 5x.,https://remnant.wiki/Hallowed_Egg
4zvuco,Hangman's Noose,amulet,Restricts Health to 50% and backfills with permanent Grey Health. All incoming damage is fully converted into Grey Health and Grey Health cannot be removed.,https://remnant.wiki/Hangman's_Noose
c0z3fy,Hyperconductor,amulet,Doubles Base Skill Charges but increases all Skill Cooldowns by 25%.  Doubles base N'Erudian Energy Reserves for Turret and Drone.,https://remnant.wiki/Hyperconductor
3lzs0c,Index of the Scribe,amulet,Increases Mod and Skill Weakspot Damage by 35%.,https://remnant.wiki/Index_of_the_Scribe
dqhstq,Indignant Fetish,amulet,Taking damage from any source increase All Damage dealt by 20% and reduces All Incoming Damage by 10%. Lasts 15s.,https://remnant.wiki/Indignant_Fetish
k8d15f,Inert Overcharger,amulet,Standing completely still for 0.5s increases Fire Rate by 20%  Reload Speed by 15%  and reduces Recoil by 50%. Lasts 2s after moving.,https://remnant.wiki/Inert_Overcharger
65ygbg,Insipid Talon,amulet,On Perfect Dodge  increases All Damage dealt by 2% and Damage Reduction by 1% for 10s. Max 15 stacks.,https://remnant.wiki/Insipid_Talon
k1oijc,Insulation Driver,amulet,While BULWARK is active  gain 15% to all damage dealt and HASTE.,https://remnant.wiki/Insulation_Driver
lpv0qq,Jester's Bell,amulet,Casting a Mod or Skill increases All Damage by 15% for 20s. Increases Cast Speed by 35%.,https://remnant.wiki/Jester's_Bell
femylz,Kinetic Shield Exchanger,amulet,While a SHIELD is active  gain 25% Mod damage and generate 30% additional Mod power.,https://remnant.wiki/Kinetic_Shield_Exchanger
04yl4w,Kuri Kuri Charm,amulet,For every 10% of Health missing (Max 50%)  gain 10% increased Relic Use Speed and 7% chance to not consume a Relic Charge.,https://remnant.wiki/Kuri_Kuri_Charm
hwpkls,Laemir Censer,amulet,Increases Mod Duration by 50%. Increases Mod Cost by 10%.,https://remnant.wiki/Laemir_Censer
a7axvo,Legacy Protocol,amulet,Reduces Skill Cooldowns by 20% and increases Skill Duration by 15%.,https://remnant.wiki/Legacy_Protocol
rpxs8n,Leto's Amulet,amulet,Reduces Encumbrance by 40% and Stamina Cost by 35%.,https://remnant.wiki/Leto's_Amulet
zo9Dkk,Magnifying Glass,amulet,Increases Skill and Mod Duration by 30% and their AOE or Aura Sizes by 20%.,https://remnant.wiki/Magnifying_Glass
jlch5h,Matriarch's Insignia,amulet,Increases Melee Damage by 35% and causes all successful Melee Attacks to restore 10 Stamina.,https://remnant.wiki/Matriarch's_Insignia
